Cell_ID,Wet_Mass,dry_mass,Till width 1,Till width 2,Till width 3,till no.,no. leaves
C_1,9.03,1.79,7.02,5.84,7.52,3,15
C_2,7.1,1.33,8.2,7.43,n/a,2,10
C_3,10.29,2.23,6.71,6.97,7.01,3,13
C_4,9.68,2.13,7.45,6.25,7.14,3,9
EC_1,6.57,1.32,5.8,5.19,n/a,2,9
EC_2,5.99,1.24,5.99,6.18,n/a,2,10
EC_3,6.45,1.31,4.68,5.61,4.57,3,13
EC_4,5.91,1.41,5.62,6.65,6.28,3,13
EV_1,7.33,1.41,5.73,6.89,4.98,3,13
EV_2,9.15,2.13,7.21,9.99,6.56,3,14
EV_3,8.49,1.73,8.5,5.52,n/a,2,9
EV_4,8.12,1.59,8.55,8.21,7.9,3,14
MFC_1,7.73,1.63,7.71,6.99,n/a,2,15
MFC_2,9.21,2.02,6.37,8.16,8.14,3,11
MFC_3,8.56,1.8,8.22,7.37,6.21,3,12
MFC_4,5.31,1.09,5,6,n/a,2,15
